"filename", "language", "JavaScript", "JSON", "HTML", "Markdown", "Vue", "comment", "blank", "total"
"d:\Projects\vscode\my-exam-vue\.eslintrc.js", "JavaScript", 16, 0, 0, 0, 0, 0, 1, 17
"d:\Projects\vscode\my-exam-vue\.prettierrc", "JSON", 0, 15, 0, 0, 0, 0, 0, 15
"d:\Projects\vscode\my-exam-vue\README.md", "Markdown", 0, 0, 0, 2, 0, 0, 0, 2
"d:\Projects\vscode\my-exam-vue\babel.config.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 4
"d:\Projects\vscode\my-exam-vue\package.json", "JSON", 0, 43, 0, 0, 0, 0, 1, 44
"d:\Projects\vscode\my-exam-vue\public\index.html", "HTML", 0, 0, 16, 0, 0, 1, 1, 18
"d:\Projects\vscode\my-exam-vue\public\tinymce\js\tinymce-vue.js", "JavaScript", 291, 0, 0, 0, 0, 57, 11, 359
"d:\Projects\vscode\my-exam-vue\public\tinymce\js\tinymce-vue.min.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\vscode\my-exam-vue\public\tinymce\js\tinymce.min.js", "JavaScript", 7, 0, 0, 0, 0, 15, 6, 28
"d:\Projects\vscode\my-exam-vue\public\tinymce\langs\zh_CN.js", "JavaScript", 462, 0, 0, 0, 0, 0, 0, 462
"d:\Projects\vscode\my-exam-vue\src\App.vue", "Vue", 0, 0, 0, 0, 28, 0, 4, 32
"d:\Projects\vscode\my-exam-vue\src\api\classroom.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"d:\Projects\vscode\my-exam-vue\src\api\paper.js", "JavaScript", 15, 0, 0, 0, 0, 0, 2, 17
"d:\Projects\vscode\my-exam-vue\src\api\record.js", "JavaScript", 4, 0, 0, 0, 0, 0, 2, 6
"d:\Projects\vscode\my-exam-vue\src\api\user.js", "JavaScript", 9, 0, 0, 0, 0, 0, 2, 11
"d:\Projects\vscode\my-exam-vue\src\components\Sider.vue", "Vue", 0, 0, 0, 0, 108, 0, 3, 111
"d:\Projects\vscode\my-exam-vue\src\components\TinymceEditor.vue", "Vue", 0, 0, 0, 0, 29, 1, 3, 33
"d:\Projects\vscode\my-exam-vue\src\main.js", "JavaScript", 13, 0, 0, 0, 0, 5, 7, 25
"d:\Projects\vscode\my-exam-vue\src\mock\classroom.js", "JavaScript", 92, 0, 0, 0, 0, 1, 1, 94
"d:\Projects\vscode\my-exam-vue\src\mock\paper.js", "JavaScript", 27, 0, 0, 0, 0, 1, 1, 29
"d:\Projects\vscode\my-exam-vue\src\mock\record.js", "JavaScript", 18, 0, 0, 0, 0, 1, 1, 20
"d:\Projects\vscode\my-exam-vue\src\mock\user.js", "JavaScript", 6, 0, 0, 0, 0, 1, 1, 8
"d:\Projects\vscode\my-exam-vue\src\router\index.js", "JavaScript", 94, 0, 0, 0, 0, 5, 5, 104
"d:\Projects\vscode\my-exam-vue\src\utils\request.js", "JavaScript", 103, 0, 0, 0, 0, 3, 9, 115
"d:\Projects\vscode\my-exam-vue\src\views\course\CourseDetail.vue", "Vue", 0, 0, 0, 0, 180, 0, 13, 193
"d:\Projects\vscode\my-exam-vue\src\views\course\Courses.vue", "Vue", 0, 0, 0, 0, 375, 0, 9, 384
"d:\Projects\vscode\my-exam-vue\src\views\login\Login.vue", "Vue", 0, 0, 0, 0, 112, 5, 10, 127
"d:\Projects\vscode\my-exam-vue\src\views\login\Register.vue", "Vue", 0, 0, 0, 0, 182, 5, 7, 194
"d:\Projects\vscode\my-exam-vue\src\views\paper\questions\ChoiceType.vue", "Vue", 0, 0, 0, 0, 60, 0, 3, 63
"d:\Projects\vscode\my-exam-vue\src\views\paper\student\PaperDetail.vue", "Vue", 0, 0, 0, 0, 263, 0, 8, 271
"d:\Projects\vscode\my-exam-vue\src\views\paper\student\Papers.vue", "Vue", 0, 0, 0, 0, 129, 0, 12, 141
"d:\Projects\vscode\my-exam-vue\src\views\paper\teacher\MetaPaper.vue", "Vue", 0, 0, 0, 0, 333, 2, 23, 358
"d:\Projects\vscode\my-exam-vue\src\views\paper\teacher\MetaPaperDetail.vue", "Vue", 0, 0, 0, 0, 408, 3, 33, 444
"d:\Projects\vscode\my-exam-vue\src\views\paper\teacher\SummaryTeacherPaper.vue", "Vue", 0, 0, 0, 0, 292, 2, 17, 311
"d:\Projects\vscode\my-exam-vue\src\views\paper\teacher\test.vue", "Vue", 0, 0, 0, 0, 71, 1, 5, 77
"d:\Projects\vscode\my-exam-vue\src\views\record\ExamRecord.vue", "Vue", 0, 0, 0, 0, 109, 0, 7, 116
"d:\Projects\vscode\my-exam-vue\src\views\user\UserCenter.vue", "Vue", 0, 0, 0, 0, 197, 5, 7, 209
"d:\Projects\vscode\my-exam-vue\vue.config.js", "JavaScript", 14, 0, 0, 0, 0, 1, 0, 15
"Total", "-", 1189, 58, 16, 2, 2876, 115, 219, 4475
