"filename", "language", "Markdown", "Vue", "JavaScript", "comment", "blank", "total"
"d:\Projects\vscode\my-exam-vue\README.md", "Markdown", 0, 0, 0, 0, 1, 1
"d:\Projects\vscode\my-exam-vue\src\api\paper.js", "JavaScript", 0, 0, 1, 0, 0, 1
"d:\Projects\vscode\my-exam-vue\src\components\Sider.vue", "Vue", 0, 6, 0, 4, 0, 10
"d:\Projects\vscode\my-exam-vue\src\router\index.js", "JavaScript", 0, 0, 6, 0, 0, 6
"d:\Projects\vscode\my-exam-vue\src\views\course\CourseDetail.vue", "Vue", 0, -10, 0, 0, -7, -17
"d:\Projects\vscode\my-exam-vue\src\views\course\Courses.vue", "Vue", 0, 16, 0, 2, 0, 18
"d:\Projects\vscode\my-exam-vue\src\views\login\Register.vue", "Vue", 0, -7, 0, 7, 0, 0
"d:\Projects\vscode\my-exam-vue\src\views\paper\questions\ChoiceType.vue", "Vue", 0, -60, 0, 0, -3, -63
"d:\Projects\vscode\my-exam-vue\src\views\paper\student\Papers.vue", "Vue", 0, 23, 0, 0, 0, 23
"d:\Projects\vscode\my-exam-vue\src\views\paper\student\Problems.vue", "Vue", 0, 219, 0, 0, 17, 236
"d:\Projects\vscode\my-exam-vue\src\views\paper\teacher\MetaPaper.vue", "Vue", 0, 19, 0, -2, -1, 16
"d:\Projects\vscode\my-exam-vue\src\views\paper\teacher\SummaryTeacherPaper.vue", "Vue", 0, 25, 0, 0, 3, 28
"d:\Projects\vscode\my-exam-vue\src\views\record\ExamRecord.vue", "Vue", 0, -9, 0, 0, -4, -13
"d:\Projects\vscode\my-exam-vue\src\views\user\UserCenter.vue", "Vue", 0, -7, 0, 7, 0, 0
"Total", "-", 0, 215, 7, 18, 6, 246
