"filename", "language", "JSON", "JavaScript", "Markdown", "Vue", "HTML", "comment", "blank", "total"
"d:\Projects\vscode\my-exam-vue\.eslintrc.js", "JavaScript", 0, 16, 0, 0, 0, 0, 1, 17
"d:\Projects\vscode\my-exam-vue\.prettierrc", "JSON", 15, 0, 0, 0, 0, 0, 0, 15
"d:\Projects\vscode\my-exam-vue\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 1, 3
"d:\Projects\vscode\my-exam-vue\babel.config.js", "JavaScript", 0, 3, 0, 0, 0, 0, 1, 4
"d:\Projects\vscode\my-exam-vue\package.json", "JSON", 43, 0, 0, 0, 0, 0, 1, 44
"d:\Projects\vscode\my-exam-vue\public\index.html", "HTML", 0, 0, 0, 0, 16, 1, 1, 18
"d:\Projects\vscode\my-exam-vue\public\tinymce\js\tinymce-vue.js", "JavaScript", 0, 291, 0, 0, 0, 57, 11, 359
"d:\Projects\vscode\my-exam-vue\public\tinymce\js\tinymce-vue.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1, 2
"d:\Projects\vscode\my-exam-vue\public\tinymce\js\tinymce.min.js", "JavaScript", 0, 7, 0, 0, 0, 15, 6, 28
"d:\Projects\vscode\my-exam-vue\public\tinymce\langs\zh_CN.js", "JavaScript", 0, 462, 0, 0, 0, 0, 0, 462
"d:\Projects\vscode\my-exam-vue\src\App.vue", "Vue", 0, 0, 0, 28, 0, 0, 4, 32
"d:\Projects\vscode\my-exam-vue\src\api\classroom.js", "JavaScript", 0, 14, 0, 0, 0, 0, 2, 16
"d:\Projects\vscode\my-exam-vue\src\api\paper.js", "JavaScript", 0, 16, 0, 0, 0, 0, 2, 18
"d:\Projects\vscode\my-exam-vue\src\api\record.js", "JavaScript", 0, 4, 0, 0, 0, 0, 2, 6
"d:\Projects\vscode\my-exam-vue\src\api\user.js", "JavaScript", 0, 9, 0, 0, 0, 0, 2, 11
"d:\Projects\vscode\my-exam-vue\src\components\Sider.vue", "Vue", 0, 0, 0, 114, 0, 4, 3, 121
"d:\Projects\vscode\my-exam-vue\src\components\TinymceEditor.vue", "Vue", 0, 0, 0, 29, 0, 1, 3, 33
"d:\Projects\vscode\my-exam-vue\src\main.js", "JavaScript", 0, 13, 0, 0, 0, 5, 7, 25
"d:\Projects\vscode\my-exam-vue\src\mock\classroom.js", "JavaScript", 0, 92, 0, 0, 0, 1, 1, 94
"d:\Projects\vscode\my-exam-vue\src\mock\paper.js", "JavaScript", 0, 27, 0, 0, 0, 1, 1, 29
"d:\Projects\vscode\my-exam-vue\src\mock\record.js", "JavaScript", 0, 18, 0, 0, 0, 1, 1, 20
"d:\Projects\vscode\my-exam-vue\src\mock\user.js", "JavaScript", 0, 6, 0, 0, 0, 1, 1, 8
"d:\Projects\vscode\my-exam-vue\src\router\index.js", "JavaScript", 0, 100, 0, 0, 0, 5, 5, 110
"d:\Projects\vscode\my-exam-vue\src\utils\request.js", "JavaScript", 0, 103, 0, 0, 0, 3, 9, 115
"d:\Projects\vscode\my-exam-vue\src\views\course\CourseDetail.vue", "Vue", 0, 0, 0, 170, 0, 0, 6, 176
"d:\Projects\vscode\my-exam-vue\src\views\course\Courses.vue", "Vue", 0, 0, 0, 391, 0, 2, 9, 402
"d:\Projects\vscode\my-exam-vue\src\views\login\Login.vue", "Vue", 0, 0, 0, 112, 0, 5, 10, 127
"d:\Projects\vscode\my-exam-vue\src\views\login\Register.vue", "Vue", 0, 0, 0, 175, 0, 12, 7, 194
"d:\Projects\vscode\my-exam-vue\src\views\paper\student\PaperDetail.vue", "Vue", 0, 0, 0, 263, 0, 0, 8, 271
"d:\Projects\vscode\my-exam-vue\src\views\paper\student\Papers.vue", "Vue", 0, 0, 0, 152, 0, 0, 12, 164
"d:\Projects\vscode\my-exam-vue\src\views\paper\student\Problems.vue", "Vue", 0, 0, 0, 219, 0, 0, 17, 236
"d:\Projects\vscode\my-exam-vue\src\views\paper\teacher\MetaPaper.vue", "Vue", 0, 0, 0, 352, 0, 0, 22, 374
"d:\Projects\vscode\my-exam-vue\src\views\paper\teacher\MetaPaperDetail.vue", "Vue", 0, 0, 0, 408, 0, 3, 33, 444
"d:\Projects\vscode\my-exam-vue\src\views\paper\teacher\SummaryTeacherPaper.vue", "Vue", 0, 0, 0, 317, 0, 2, 20, 339
"d:\Projects\vscode\my-exam-vue\src\views\paper\teacher\test.vue", "Vue", 0, 0, 0, 71, 0, 1, 5, 77
"d:\Projects\vscode\my-exam-vue\src\views\record\ExamRecord.vue", "Vue", 0, 0, 0, 100, 0, 0, 3, 103
"d:\Projects\vscode\my-exam-vue\src\views\user\UserCenter.vue", "Vue", 0, 0, 0, 190, 0, 12, 7, 209
"d:\Projects\vscode\my-exam-vue\vue.config.js", "JavaScript", 0, 14, 0, 0, 0, 1, 0, 15
"Total", "-", 58, 1196, 2, 3091, 16, 133, 225, 4721
